username,isaPerson,userLocation,screen_name,userLocationCode,Lvalue
@Mandiri_OLT,nonperson,jabodetabek,Mandiri_OLT,JBD,1
@BlogTolkien,person,kalimantan,BlogTolkien,KA,5
@HmsPoldaPapua,nonperson,maluku dan papua,HmsPoldaPapua,ML&PP,6
@perangbatinn,person,jawa tengah dan yogyakarta,perangbatinn,JT&YO,3
@BALINALE,nonperson,bali dan nusa tenggara,BALINALE,NU,0
@SenjaFrima,person,kalimantan,SenjaFrima,KA,5
@SheratonKuta,nonperson,bali dan nusa tenggara,SheratonKuta,NU,0
@anggunasm,person,jawa timur,anggunasm,JI,4
@DenpasarKota,nonperson,bali dan nusa tenggara,DenpasarKota,NU,0
@IAImudajatim,nonperson,jawa timur,IAImudajatim,JI,4
@perpusub,nonperson,jawa timur,perpusub,JI,4
@thamzil,person,sulawesi,thamzil,SL,7
@Turahpartayana,person,bali dan nusa tenggara,Turahpartayana,NU,0
@poltekbangsby,nonperson,jawa timur,poltekbangsby,JI,4
@SH_Jateng,nonperson,jawa tengah dan yogyakarta,SH_Jateng,JT&YO,3
@erwinramdani93,person,jawa barat dan banten,erwinramdani93,JB&BT,2
@uroldsport,person,kalimantan,uroldsport,KA,5
@aim_ranti,person,sumatera,aim_ranti,SM,8
@achmad_khumaini,person,jawa timur,achmad_khumaini,JI,4
@A_ZeeJKT48,person,jabodetabek,A_ZeeJKT48,JBD,1
@Standupindo_cmh,nonperson,jawa barat dan banten,Standupindo_cmh,JB&BT,2
@clsknights,nonperson,jawa timur,clsknights,JI,4
@Bahasa_Sultra,nonperson,sulawesi,Bahasa_Sultra,SL,7
@actbare_,person,jawa timur,actbare_,JI,4
@InfoPadang_,nonperson,sumatera,InfoPadang_,SM,8
@abdurarsyad,person,bali dan nusa tenggara,abdurarsyad,NU,0
@amalmsc,person,jawa timur,amalmsc,JI,4
@mahoni___,person,jawa tengah dan yogyakarta,mahoni___,JT&YO,3
@fstua,nonperson,jawa timur,fstua,JI,4
@Ind_Mengajar,nonperson,jabodetabek,Ind_Mengajar,JBD,1
@TernateTourism,nonperson,maluku dan papua,TernateTourism,ML&PP,6
@amelianaris,person,jawa barat dan banten,amelianaris,JB&BT,2
@RumahMakanPD,person,sumatera,RumahMakanPD,SM,8
@PerkebunanJabar,nonperson,jawa barat dan banten,PerkebunanJabar,JB&BT,2
@APITOOO,person,jawa barat dan banten,APITOOO,JB&BT,2
@kpu_sulsel,nonperson,sulawesi,kpu_sulsel,SL,7
@Journaldi,person,maluku dan papua,Journaldi,ML&PP,6
@_dwinand,person,jabodetabek,_dwinand,JBD,1
@feb_ugm,nonperson,jawa tengah dan yogyakarta,feb_ugm,JT&YO,3
@nmdhrifah,person,jawa barat dan banten,nmdhrifah,JB&BT,2
@putbagusaditya,person,bali dan nusa tenggara,putbagusaditya,NU,0
@AndreasNoak,person,bali dan nusa tenggara,AndreasNoak,NU,0
@FokusNTT,nonperson,bali dan nusa tenggara,FokusNTT,NU,0
@aira_yuliana,person,sulawesi,aira_yuliana,SL,7
@AltezzaAndhika,person,sumatera,AltezzaAndhika,SM,8
@wakilbupatipml,person,jawa tengah dan yogyakarta,wakilbupatipml,JT&YO,3
@KPIDJateng,nonperson,jawa tengah dan yogyakarta,KPIDJateng,JT&YO,3
@VisitJawaTengah,nonperson,jawa tengah dan yogyakarta,VisitJawaTengah,JT&YO,3
@BKKBN_Jateng,nonperson,jawa tengah dan yogyakarta,BKKBN_Jateng,JT&YO,3
@dotsemarang,nonperson,jawa tengah dan yogyakarta,dotsemarang,JT&YO,3
@_leharoy,person,maluku dan papua,_leharoy,ML&PP,6
@PSM_Makassar,nonperson,sulawesi,PSM_Makassar,SL,7
@carbonds_CRI,nonperson,jabodetabek,carbonds_CRI,JBD,1
@SemenpadangFCID,nonperson,sumatera,SemenpadangFCID,SM,8
@KawanBaikKomodo,nonperson,bali dan nusa tenggara,KawanBaikKomodo,NU,0
@AbdulHafizhRA,person,jawa barat dan banten,AbdulHafizhRA,JB&BT,2
@_dimsky_,person,jawa tengah dan yogyakarta,_dimsky_,JT&YO,3
@letsgorajaampat,nonperson,maluku dan papua,letsgorajaampat,ML&PP,6
@UtdIndonesiaBDG,nonperson,jawa barat dan banten,UtdIndonesiaBDG,JB&BT,2
@KhofifahIP,person,jawa timur,KhofifahIP,JI,4
@limatigaaaa,person,jawa tengah dan yogyakarta,limatigaaaa,JT&YO,3
@EdenKutaBali,nonperson,bali dan nusa tenggara,EdenKutaBali,NU,0
@KemFazHas,person,jawa tengah dan yogyakarta,KemFazHas,JT&YO,3
@PMIBanjarmasin,nonperson,kalimantan,PMIBanjarmasin,KA,5
@RajaAmpatBiz,nonperson,maluku dan papua,RajaAmpatBiz,ML&PP,6
@arusbaik_id,nonperson,jabodetabek,arusbaik_id,JBD,1
@ukm_official,nonperson,jawa barat dan banten,ukm_official,JB&BT,2
@bpskalteng,nonperson,kalimantan,bpskalteng,KA,5
@tie_1701,person,bali dan nusa tenggara,tie_1701,NU,0
@HumasPolairud,nonperson,sulawesi,HumasPolairud,SL,7
@Kuliner_Bandung,nonperson,jawa barat dan banten,Kuliner_Bandung,JB&BT,2
@HSBC_ID,nonperson,jabodetabek,HSBC_ID,JBD,1
@pauddikmassumut,nonperson,sumatera,pauddikmassumut,SM,8
@prwttymiselfff,person,jawa tengah dan yogyakarta,prwttymiselfff,JT&YO,3
@SemenPadang1910,nonperson,sumatera,SemenPadang1910,SM,8
@TwiBiKalimantan,nonperson,kalimantan,TwiBiKalimantan,KA,5
@Tribun_Jabar,nonperson,jawa barat dan banten,Tribun_Jabar,JB&BT,2
@AnjasChambank,person,sulawesi,AnjasChambank,SL,7
@SocMedSUMBAR,nonperson,sumatera,SocMedSUMBAR,SM,8
@PerekonomianRI,nonperson,jabodetabek,PerekonomianRI,JBD,1
@ogiie_yogie,person,kalimantan,ogiie_yogie,KA,5
@kabaPADANG,nonperson,sumatera,kabaPADANG,SM,8
@aldiandria,person,sumatera,aldiandria,SM,8
@YMCManado,nonperson,sulawesi,YMCManado,SL,7
@_maaharani,person,jawa tengah dan yogyakarta,_maaharani,JT&YO,3
@ErsaTriWahyuni,person,jawa barat dan banten,ErsaTriWahyuni,JB&BT,2
@kantahkabkapuas,nonperson,kalimantan,kantahkabkapuas,KA,5
@TRANS7,nonperson,jabodetabek,TRANS7,JBD,1
@Andreahirata,person,sumatera,Andreahirata,SM,8
@Eka_anasri,person,sulawesi,Eka_anasri,SL,7
@Kejaricirebon,nonperson,jawa barat dan banten,Kejaricirebon,JB&BT,2
@noviaanggraini5,person,sumatera,noviaanggraini5,SM,8
@orizanoor,person,kalimantan,orizanoor,KA,5
@bmkgpadangpjg,nonperson,sumatera,bmkgpadangpjg,SM,8
@pikobar_jabar,nonperson,jawa barat dan banten,pikobar_jabar,JB&BT,2
@nyamplunk25,person,bali dan nusa tenggara,nyamplunk25,NU,0
@TeaterMelati,nonperson,kalimantan,TeaterMelati,KA,5
@ekopurnomo346,person,jawa timur,ekopurnomo346,JI,4
@BBahasaSulut,nonperson,sulawesi,BBahasaSulut,SL,7
@_hunnybunny___,person,jawa timur,_hunnybunny___,JI,4
@AnimalFriendsYK,nonperson,jawa tengah dan yogyakarta,AnimalFriendsYK,JT&YO,3
@noviza_amelia,person,jawa timur,noviza_amelia,JI,4
@paudgto,nonperson,sulawesi,paudgto,SL,7
@TifosiFutsalJGJ,nonperson,jawa tengah dan yogyakarta,TifosiFutsalJGJ,JT&YO,3
@KediriRiderClub,nonperson,jawa timur,KediriRiderClub,JI,4
@provjateng,nonperson,jawa tengah dan yogyakarta,provjateng,JT&YO,3
@ubudfoodfest,nonperson,bali dan nusa tenggara,ubudfoodfest,NU,0
@isyuniarto,person,jawa timur,isyuniarto,JI,4
@29_inastasia,person,jawa barat dan banten,29_inastasia,JB&BT,2
@riaupos,nonperson,sumatera,riaupos,SM,8
@TamanMekarsari,nonperson,jawa barat dan banten,TamanMekarsari,JB&BT,2
@kabarpapuaco,nonperson,maluku dan papua,kabarpapuaco,ML&PP,6
@agungradityasan,person,bali dan nusa tenggara,agungradityasan,NU,0
@BstarzmedanOFC,nonperson,sumatera,BstarzmedanOFC,SM,8
@TuneHotelsID,nonperson,jawa tengah dan yogyakarta,TuneHotelsID,JT&YO,3
@AsiAfricaMuseum,nonperson,jawa barat dan banten,AsiAfricaMuseum,JB&BT,2
@ARVC_Cirebon,nonperson,jawa barat dan banten,ARVC_Cirebon,JB&BT,2
@claralistyaD,person,bali dan nusa tenggara,claralistyaD,NU,0
@SurbaktiJosia,person,sumatera,SurbaktiJosia,SM,8
@GadgetYogya,nonperson,jawa tengah dan yogyakarta,GadgetYogya,JT&YO,3
@fpub_official,nonperson,jawa timur,fpub_official,JI,4
@BTS_Palembang,nonperson,sumatera,BTS_Palembang,SM,8
@bandungpy,nonperson,jawa barat dan banten,bandungpy,JB&BT,2
@txtdrprogramer,nonperson,jabodetabek,txtdrprogramer,JBD,1
@dinkopjateng,nonperson,jawa tengah dan yogyakarta,dinkopjateng,JT&YO,3
@unsri,nonperson,sumatera,unsri,SM,8
@Edi_Kamtono,person,kalimantan,Edi_Kamtono,KA,5
@AriantooPratama,person,jawa tengah dan yogyakarta,AriantooPratama,JT&YO,3
@akucantikkkID,person,bali dan nusa tenggara,akucantikkkID,NU,0
@Diskes_KoMal,nonperson,jawa timur,Diskes_KoMal,JI,4
@therealDiSastr,person,jabodetabek,therealDiSastr,JBD,1
@kanimlabuanbajo,nonperson,bali dan nusa tenggara,kanimlabuanbajo,NU,0
@KaltengPutraKu,nonperson,kalimantan,KaltengPutraKu,KA,5
@JatimPemprov,nonperson,jawa timur,JatimPemprov,JI,4
@walhisumut,nonperson,sumatera,walhisumut,SM,8
@MarcellSiahaan,person,jabodetabek,MarcellSiahaan,JBD,1
@myXL_Sulawesi,nonperson,sulawesi,myXL_Sulawesi,SL,7
@gembongITB,person,jawa barat dan banten,gembongITB,JB&BT,2
@nikkujin,person,sulawesi,nikkujin,SL,7
@sandyyags,person,jawa timur,sandyyags,JI,4
@explorejabar,nonperson,jawa barat dan banten,explorejabar,JB&BT,2
@BEM_FE_UBB,nonperson,sumatera,BEM_FE_UBB,SM,8
@wildwestraven,person,jabodetabek,wildwestraven,JBD,1
@yosepmote4,person,maluku dan papua,yosepmote4,ML&PP,6
