username,isaPerson,userLocation,screen_name,userLocationCode,Lvalue
@kpubandungbarat,nonperson,jawa barat dan banten,kpubandungbarat,JB&BT,2
@nurdinabdullahh,person,sulawesi,nurdinabdullahh,SL,7
@aryasinga19,person,bali dan nusa tenggara,aryasinga19,NU,0
@Sutiaj1,person,jawa timur,Sutiaj1,JI,4
@WisataMalam_BNS,nonperson,jawa timur,WisataMalam_BNS,JI,4
@anwarabdulrojak,person,jawa barat dan banten,anwarabdulrojak,JB&BT,2
@A_Luthfi14,person,sumatera,A_Luthfi14,SM,8
@AdhyDault,person,sulawesi,AdhyDault,SL,7
@AngginaYuni,person,jawa barat dan banten,AngginaYuni,JB&BT,2
@KeperawatanUI,nonperson,jabodetabek,KeperawatanUI,JBD,1
@HaniAngelita,person,maluku dan papua,HaniAngelita,ML&PP,6
@BB_Jatim,nonperson,jawa timur,BB_Jatim,JI,4
@bimautamajabar,nonperson,jawa barat dan banten,bimautamajabar,JB&BT,2
@IM3Jabar,nonperson,jawa barat dan banten,IM3Jabar,JB&BT,2
@infoLotim,nonperson,bali dan nusa tenggara,infoLotim,NU,0
@Moektito,person,jawa timur,Moektito,JI,4
@hi_sulsel,nonperson,sulawesi,hi_sulsel,SL,7
@Andri95392909,person,maluku dan papua,Andri95392909,ML&PP,6
@KemenkesRI,nonperson,jabodetabek,KemenkesRI,JBD,1
@AndiiPallawa,person,sulawesi,AndiiPallawa,SL,7
@ardinarr,person,jawa tengah dan yogyakarta,ardinarr,JT&YO,3
@TRANSluxuryHTL,nonperson,jawa barat dan banten,TRANSluxuryHTL,JB&BT,2
@nnnycbr,person,sumatera,nnnycbr,SM,8
@ajibramantio6,person,jawa barat dan banten,ajibramantio6,JB&BT,2
@yona_banjar,person,kalimantan,yona_banjar,KA,5
@UB_Official,nonperson,jawa timur,UB_Official,JI,4
@VikborOfficial,nonperson,kalimantan,VikborOfficial,KA,5
@KompasTV_PTK,nonperson,kalimantan,KompasTV_PTK,KA,5
@Albert_Bangun,person,sumatera,Albert_Bangun,SM,8
@papuan_voices,nonperson,maluku dan papua,papuan_voices,ML&PP,6
@AndrieWongso,person,jawa timur,AndrieWongso,JI,4
@papuanews,nonperson,maluku dan papua,papuanews,ML&PP,6
@siman_sudartawa,person,bali dan nusa tenggara,siman_sudartawa,NU,0
@dimi_adhen,person,maluku dan papua,dimi_adhen,ML&PP,6
@dinsos_jatim,nonperson,jawa timur,dinsos_jatim,JI,4
@wikan_sakarinto,person,jawa tengah dan yogyakarta,wikan_sakarinto,JT&YO,3
@desakkrystina,person,bali dan nusa tenggara,desakkrystina,NU,0
@Andrianinsr,person,sumatera,Andrianinsr,SM,8
@IPDNRegSulut,nonperson,sulawesi,IPDNRegSulut,SL,7
