,0
0,2
1,2
2,3
3,2
4,4
5,2
6,6
7,8
8,7
9,2
10,2
11,8
12,3
13,8
14,8
15,8
16,2
17,3
18,8
19,2
20,6
21,2
22,8
23,4
24,2
25,2
26,2
27,3
28,2
29,2
30,7
31,3
32,8
33,8
34,2
35,8
36,2
37,8
38,6
39,2
40,8
41,2
42,2
43,6
44,8
45,2
46,2
47,3
48,6
49,2
50,4
51,2
52,4
53,2
54,2
55,8
56,3
57,7
58,1
59,2
60,8
61,2
62,8
63,2
64,4
65,2
66,8
67,7
68,8
69,4
70,3
71,7
72,3
73,4
74,2
75,8
76,3
77,8
78,6
79,8
80,8
81,8
82,8
83,2
84,1
85,8
86,8
87,6
88,8
89,8
90,6
91,7
92,3
93,2
94,2
95,8
96,2
97,6
98,8
99,1
100,2
101,6
102,8
103,2
104,8
105,4
106,2
107,2
108,8
109,2
110,8
111,1
112,7
113,4
114,7
115,2
116,0
117,8
118,3
119,8
120,4
121,8
122,2
123,8
124,4
125,2
126,2
127,8
128,6
129,4
130,3
131,3
132,8
133,3
134,4
135,4
136,3
137,8
138,2
139,8
140,2
141,1
142,8
143,6
144,8
145,8
146,3
147,1
148,6
149,6
150,8
151,8
152,6
153,8
154,2
155,6
156,2
157,6
158,8
159,6
160,8
161,8
162,6
163,2
164,8
165,8
166,2
167,7
168,2
169,2
170,7
171,4
172,3
173,6
174,8
175,2
176,4
177,8
178,4
179,2
180,2
181,6
182,8
183,8
184,2
185,8
186,8
187,8
188,6
189,2
190,8
191,2
192,8
193,8
194,2
195,8
196,8
197,2
198,8
199,8
200,2
201,5
202,3
203,6
204,2
205,2
206,6
207,4
208,7
209,2
210,6
211,8
212,3
213,8
214,8
215,3
216,2
217,2
218,8
219,8
220,2
221,8
222,8
223,2
224,7
225,2
226,7
227,8
228,3
229,2
230,4
231,2
232,8
233,2
234,3
235,8
236,8
237,2
238,2
239,2
240,2
241,3
242,2
243,8
244,4
245,8
246,8
247,4
248,3
249,2
