,0
0,1
1,1
2,2
3,2
4,1
5,1
6,1
7,1
8,2
9,1
10,2
11,2
12,2
13,2
14,2
15,2
16,3
17,2
18,2
19,2
20,2
21,1
22,4
23,1
24,1
25,1
26,2
27,1
28,1
29,4
30,1
31,1
32,1
33,2
34,1
35,1
36,1
37,2
38,2
39,0
40,1
41,3
42,2
43,2
44,1
45,1
46,1
47,2
48,1
49,1
50,2
51,1
52,1
53,1
54,1
55,1
56,8
57,1
58,1
59,1
60,8
61,2
62,2
63,2
64,0
65,2
66,2
67,8
68,2
69,1
70,2
71,1
72,3
73,1
74,1
75,2
76,2
77,8
78,1
79,8
80,1
81,2
82,1
83,1
84,1
85,1
86,1
87,2
88,1
89,1
90,1
91,1
92,3
93,2
94,8
95,5
96,2
97,8
98,1
99,2
100,1
101,2
102,2
103,1
104,0
105,2
106,2
107,4
108,1
109,1
110,1
111,2
112,2
113,2
114,1
115,1
116,1
117,3
118,1
119,2
120,3
121,8
122,3
123,8
124,2
125,0
126,8
127,6
128,0
129,1
130,2
131,2
132,0
133,1
134,2
135,1
136,1
137,6
138,4
139,2
140,1
141,2
142,1
143,2
144,1
145,3
146,2
147,2
148,1
149,3
150,2
151,1
152,1
153,3
154,2
155,1
156,1
157,3
158,2
159,1
160,2
161,2
162,1
163,1
164,1
165,2
166,2
167,1
168,1
169,5
170,5
171,2
172,8
173,1
174,2
175,8
176,2
177,0
178,8
179,1
180,2
181,1
182,2
183,1
184,8
185,3
186,4
187,2
188,0
189,1
190,3
191,1
192,6
193,2
194,1
195,3
196,2
197,0
198,6
199,2
200,1
201,1
202,8
203,1
204,0
205,2
206,2
207,2
208,4
209,8
210,2
211,2
212,1
213,2
214,2
215,2
216,1
217,1
218,3
219,2
220,5
221,3
222,4
223,8
224,3
225,2
226,8
227,3
228,3
229,2
230,2
231,4
232,1
233,3
234,1
235,1
236,2
237,4
238,1
239,3
240,1
241,1
242,8
243,8
244,0
245,8
246,8
247,1
248,3
249,4
250,4
251,2
252,5
253,2
254,3
255,1
256,3
257,1
258,4
259,1
260,3
261,4
262,1
263,4
264,2
265,3
266,2
267,1
268,1
269,2
270,0
271,2
272,1
273,1
274,1
275,2
276,2
277,4
278,0
279,2
280,1
281,1
282,3
283,1
284,3
285,8
286,1
287,1
288,1
289,8
290,0
291,8
292,2
293,8
294,3
295,3
296,2
297,0
298,2
299,2
300,1
301,1
302,1
303,1
304,1
305,1
306,0
307,2
308,1
309,0
310,1
311,0
312,1
313,6
314,1
315,7
316,0
317,1
318,3
319,0
320,2
321,1
322,2
323,2
324,1
325,1
326,4
327,5
328,1
329,0
330,1
331,2
332,1
333,0
334,1
335,1
336,1
337,8
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,5
346,1
347,2
348,8
349,1
350,2
351,2
352,1
353,1
354,2
355,1
356,0
357,0
358,4
359,0
360,3
361,2
362,5
363,2
364,1
365,6
366,4
367,0
368,1
369,5
370,1
371,6
372,3
373,1
374,1
375,1
376,8
377,1
378,1
379,2
380,1
381,0
382,1
383,8
384,2
385,2
386,1
387,1
388,1
389,1
390,0
391,0
392,0
393,4
394,1
395,2
396,8
397,1
398,7
399,7
400,1
401,8
402,1
403,8
404,8
405,2
406,3
407,4
408,2
409,2
410,2
411,3
412,7
413,2
414,4
415,8
416,3
417,4
418,3
419,3
420,3
421,1
422,2
423,0
424,2
425,1
426,1
427,1
428,4
429,1
430,8
431,8
432,8
433,1
434,2
435,1
436,1
437,1
438,8
439,1
440,8
441,1
442,1
443,1
444,1
445,1
446,8
447,1
448,1
449,4
450,1
451,1
452,2
453,0
454,2
455,1
456,1
457,1
458,1
459,2
460,0
461,2
462,1
463,0
464,1
465,1
466,1
467,1
468,2
469,1
470,1
471,2
472,2
473,2
474,2
475,8
476,1
477,8
478,0
479,2
480,0
481,4
482,1
483,8
484,2
485,2
486,2
487,1
488,1
489,4
490,1
491,1
492,1
493,1
494,3
495,2
496,2
497,1
498,1
499,0
500,1
501,1
502,1
503,2
504,1
505,2
506,1
507,1
508,1
509,1
510,1
511,1
512,2
513,2
514,1
515,8
516,1
517,1
518,1
519,2
520,4
521,7
522,8
523,7
524,4
525,7
526,6
527,5
528,2
529,8
530,6
531,8
532,6
533,6
534,6
535,6
536,6
537,7
538,6
539,6
540,6
541,6
542,6
543,6
544,7
545,1
546,7
547,3
548,3
549,8
550,8
551,3
552,5
553,2
554,5
555,7
556,3
557,4
558,3
559,4
560,7
561,3
562,3
563,8
564,8
565,3
566,3
567,3
568,3
569,3
570,3
571,6
572,1
573,7
574,7
575,7
576,8
577,6
578,7
579,7
580,7
581,7
582,4
583,2
584,7
585,7
586,1
587,6
588,7
589,6
590,6
591,1
592,7
593,7
594,4
595,7
596,7
597,6
598,4
599,7
600,6
601,7
602,7
603,7
604,7
605,5
606,4
607,5
608,7
609,8
610,1
611,5
612,6
613,7
614,5
615,6
616,7
617,4
618,4
619,6
620,4
621,8
622,0
623,0
624,2
625,0
626,5
627,4
628,0
629,4
630,4
631,0
632,1
633,6
634,1
635,5
636,0
637,2
638,0
639,1
640,0
641,0
642,0
643,8
644,0
645,1
646,1
647,7
648,2
649,4
650,2
651,4
652,0
653,0
654,1
655,2
656,2
657,1
658,1
659,1
660,0
661,0
662,0
663,2
664,0
665,1
666,1
667,1
668,1
669,2
670,0
671,2
672,8
673,1
674,0
675,8
676,4
677,4
678,5
679,8
680,1
681,4
682,0
683,5
684,1
685,4
686,4
687,1
688,0
689,1
690,8
691,5
692,1
693,5
694,5
695,3
696,5
697,5
698,5
699,5
700,5
701,5
702,5
703,2
704,5
705,5
706,5
707,5
708,6
709,7
710,4
711,8
712,2
713,1
714,4
715,1
716,3
717,2
718,5
719,5
720,5
721,3
722,1
723,3
724,8
725,8
726,8
727,3
728,3
729,1
730,2
731,2
732,8
733,3
734,4
735,1
736,2
737,3
738,8
739,5
740,1
741,2
742,1
743,0
744,8
745,2
746,0
747,2
748,0
749,1
750,6
751,2
752,0
753,0
754,1
755,2
756,5
757,3
758,2
759,0
760,3
761,3
762,3
763,0
764,8
765,4
766,4
767,3
768,3
769,1
770,2
771,8
772,2
773,1
774,3
775,3
776,1
777,3
778,3
779,3
780,8
781,6
782,1
783,6
784,1
785,6
786,1
787,4
788,2
789,1
790,2
791,4
792,8
793,2
794,4
795,4
796,1
797,4
798,0
799,1
800,3
801,2
802,2
803,1
804,2
805,4
806,2
807,2
808,2
809,1
810,8
811,2
812,1
