,0
0,2
1,3
2,4
3,0
4,4
5,1
6,7
7,4
8,5
9,2
10,1
11,7
12,3
13,5
14,7
15,0
16,2
17,1
18,4
19,2
20,6
21,2
22,7
23,4
24,2
25,2
26,2
27,3
28,3
29,3
30,2
31,3
32,1
33,8
34,2
35,0
36,1
37,8
38,6
39,1
40,8
41,2
42,2
43,5
44,7
45,3
46,2
47,3
48,6
49,0
50,3
51,4
52,4
53,1
54,1
55,5
56,4
57,0
58,1
59,2
60,0
61,4
62,0
63,3
64,3
65,3
66,4
67,5
68,7
69,3
70,3
71,7
72,3
73,3
74,3
75,4
76,3
77,4
78,6
79,6
80,5
81,8
82,5
83,1
84,1
85,3
86,7
87,0
88,0
89,8
90,6
91,0
92,3
93,2
94,5
95,5
96,2
97,2
98,7
99,1
100,2
101,6
102,2
103,4
104,0
105,4
106,3
107,5
108,1
109,2
110,0
111,2
112,3
113,3
114,8
115,2
116,0
117,8
118,4
119,0
120,4
121,8
122,2
123,7
124,3
125,1
126,2
127,5
128,6
129,3
130,3
131,3
132,2
133,4
134,4
135,4
136,4
137,8
138,3
139,2
140,1
141,1
142,7
143,8
144,5
145,5
146,3
147,1
148,6
149,6
150,7
151,2
152,6
153,5
154,2
155,6
156,0
157,6
158,1
159,6
160,8
161,0
162,7
163,4
164,1
165,0
166,4
167,8
168,1
169,3
170,6
171,4
172,4
173,6
174,1
175,1
176,3
177,8
178,3
179,2
180,3
181,6
182,2
183,6
184,3
185,8
186,1
187,7
188,6
189,0
190,5
191,1
192,8
193,3
194,1
195,8
196,8
197,2
198,0
199,1
200,2
201,0
202,4
203,6
204,2
205,2
206,6
207,4
208,0
209,4
210,6
211,5
212,0
213,8
214,4
215,4
216,7
217,4
218,1
219,3
220,2
221,8
222,5
223,2
224,6
225,3
226,8
227,8
228,4
229,4
230,2
231,1
232,7
233,2
234,3
235,0
236,8
237,1
238,2
239,5
240,3
241,4
242,1
243,7
244,3
245,2
246,5
247,4
248,3
249,3
