screen_name,Lpredict
arshere,3
inyormain,3
ainssdyh,3
aline_adita,1
Arnaz_Asa,3
A_FionyJKT48,3
themaczmancom,7
klubbunga,0
yona_banjar,3
14045archie,3
RistekCSUI,1
info_bnnkpalu,7
humas_jogja,3
orizanoor,3
BBSulsel,7
westinbali,0
PemdaKotaCrb,2
AiraAl,3
AliMasykurMusa,3
aheryawan,3
Swissbel_Jpr,6
uu_ruzhanul,2
kanwilsulteng,7
ptriavia,3
VidiesBandung,2
ahikmatf,3
pegipegi,3
kominfo_jtg,3
asadepan,2
undip,3
beINSPORTSid,5
NizaPuspitaArim,3
FirstMediaWorld,1
kantorbhsjambi,7
aimanricky,3
nttlpmp,0
_atikamutiara,3
MCSCI_PALEMBANG,8
putrikaviani19,6
yudhakhel,3
PMISUMSEL,8
CkdHumas,2
ardyaaW,2
nuicemedia,1
Sulselprov,7
KarrimaNailul,3
komiklieur,3
Yudhapraditya46,3
g_wanimbo,6
RTMCPoldaNTB,0
shepiaaa_,3
ana_khoz,3
persikfckediri,2
jointsugm,1
kevin_adhika,3
ainiciebot,3
pemkabpasuruan_,4
BaliSafari,0
litarianti,1
nimikiilhim,2
DediMetrawan1,3
kpukotablitar,4
mahananda_,3
abidbid,3
jawafess,3
BEMUndip_,3
ridha_sofyan,3
antioffline_,5
IAmKzaan,3
anjar_wilujeng,3
Arkobumen,3
BSN_MAKASSAR,7
bemkm_ugm,3
arkatyanta28,3
desa_cibuyur,2
adindanvl,3
infoFKY,3
JCIndonesia,3
goliathtabuni,6
lpmp_malut,8
bloggerkalsel,5
kabarsumbar_,8
aprilianiken,3
atnisay,3
vincentrompies,3
buahfresh17,3
SinagaEdo,3
kiko_henuk,0
Monicaiphing,2
agekurniawan9,8
ofc_pvjayapura,2
nixon_civil,3
SPxPSS1976,3
aagym,4
humasbatan,8
TVRIKALTIM_,5
MCSCI_WOJ,2
theCitizens_PLK,2
hurufkecil,3
agustox21,3
LL_Palembang,0
LParirie,6
rs_matacicendo,3
Ali_Musri_SP,3
rickysadewa_895,3
bpbd_malangkota,4
Anab_M_B,3
mrmakassar,3
RadioKesehatan,3
BPBDJabar,2
dinkesbali,0
dr_dip,8
agsdomas,3
_dimsky_,3
wisataacehID,8
kompastv_jabar,2
THEBALIBIBLE,0
IsmiAmran,3
diptabaswara,3
AstonKuta,0
Lantas_RestaBwi,3
105kissfmmedan,1
angklung3,2
Sulawesitacom,7
prwttymiselfff,3
TSM_Makassar,0
bptdjabar,2
HendRadianceBJM,8
kadodamate,6
fachmiza,3
mardiasih,3
bpbdjateng,3
www_endhy_xyz,0
Vasudonesta1976,3
bapendajatim,4
rdpatera,3
RRIMalang,3
Alvaredoo,3
ardinarr,3
BeritaJabarku,2
doktermarket,1
NBA_Indonesia,2
DaengNug,3
adn_afandi,8
kumhamkalsel,5
AgunOnly,3
nurfmrembang,3
ianhutomo,3
RicoTude,3
ManjaruniMaryo,3
9ziza9,3
akhirul_rmd,3
bmkgpapua,6
antungriduan,1
antoniomaha,3
NTTbersuara,1
nesyanl,1
BeritaMaluku,6
GosyenTerang,2
DitlantasMaluku,6
loker_sumbar,8
BaliUtd,3
PemkotManado,7
azhary88853559,3
___TJ,1
wikkend,3
UM_1954,4
AkbarRafs,3
sir_amirsyarif,3
aguswidiadaa,3
ai_king128,0
adhitiasofyan,3
hengpaenpaen,3
infoBMKGMaluku,6
FransRuntulalu,3
widhaRP,3
octapiatri_,3
bolalampung,8
HaidarMusyafa,3
DanyBeler,3
dinsosjateng,3
Malukunews,6
_AtalarikSyach,1
bemfkuncen,3
polresjogja,3
ntykertawijaya,8
ojze,3
ZENRoomsID,0
Yance_Yobee,6
m_ikhwanulmus,3
Pemprov_Kaltim,5
smyhpns,3
sastranababan,3
arkham1818,3
antvbola,4
Superbsaiyan,3
SumatranTigerID,8
wowbanten,2
StandupindoBali,3
15natashawilona,1
DimasAHongBulat,3
anyta_browniezt,3
BanggaSurabaya,4
kpu_malut,6
lpmpbanten,2
AnisaRahma_Adi,2
Info_Jayapura,3
teater_kutub,3
balimarinedive,0
Abang_Cetan,3
WempiWetipo,6
Malafucktaka,3
iSatrio,3
ceritamedan,8
NuriiDM_,1
lirajtm,4
ilsaunhas,7
angewwie,3
naufalirfandi,3
Fadhill_Hakim,3
achmadzaky,3
minangkabauku,8
InfoGOBJM,8
4N4kN4G4,2
nita_nit24,3
AlfatihTimur,3
alfadillahsony,3
cosbylarsons,3
PemkotMalang,4
IrhamMaulidy,3
wijangsha,3
Aldhygunawan_,3
ngiqiq,3
MayongFirdaus,3
Taekwondo_UNDIP,3
lebahireng,3
plnsumut_,0
OVJ_kitelagi,1
IDWanderlust,2
ConversationIDN,1
Bappeda_Jateng,3
humasprovjatim,4
AkberJKT,3
beacukaigto,7
frdhaamalia,3
alfunmart,2
DanarSN,3
aminollahmimink,3
StandUpSOLO,3
AangMunawar21,3
