username,isaPerson,userLocation,screen_name,user.screen_name,Lvalue
@ldiisumbar,nonperson,sumatera,ldiisumbar,ldiisumbar,8
@akhdaafif,person,jawa tengah dan yogyakarta,akhdaafif,akhdaafif,3
@SMPN2CRB,nonperson,jawa barat dan banten,SMPN2CRB,SMPN2CRB,2
@nurilFS_,person,jawa timur,nurilFS_,nurilFS_,4
@wijangsha,person,jawa tengah dan yogyakarta,wijangsha,wijangsha,3
@pemprovsu,nonperson,sumatera,pemprovsu,pemprovsu,8
@IrhamMaulidy,person,jawa timur,IrhamMaulidy,IrhamMaulidy,4
@SPxPSS1976,nonperson,jawa timur,SPxPSS1976,SPxPSS1976,4
@humas_jogja,nonperson,jawa tengah dan yogyakarta,humas_jogja,humas_jogja,3
@BEXXASULAWESI,nonperson,sulawesi,BEXXASULAWESI,BEXXASULAWESI,7
@kecsmgutara,nonperson,jawa tengah dan yogyakarta,kecsmgutara,kecsmgutara,3
@DKLovers_SBY,nonperson,jawa timur,DKLovers_SBY,DKLovers_SBY,4
@nonosampono,person,maluku dan papua,nonosampono,nonosampono,6
@_Jafar_AA,person,jabodetabek,_Jafar_AA,_Jafar_AA,1
@fadjroeL,person,jabodetabek,fadjroeL,fadjroeL,1
@Swamat28,person,kalimantan,Swamat28,Swamat28,5
@BKKBN_Jateng,nonperson,jawa tengah dan yogyakarta,BKKBN_Jateng,BKKBN_Jateng,3
@___TJ,person,jabodetabek,___TJ,___TJ,1
@persipura63,nonperson,maluku dan papua,persipura63,persipura63,6
@medi15_,person,jawa barat dan banten,medi15_,medi15_,2
@ferdiriva,person,jabodetabek,ferdiriva,ferdiriva,1
@Turahpartayana,person,bali dan nusa tenggara,Turahpartayana,Turahpartayana,0
@Choirunnv,person,jawa timur,Choirunnv,Choirunnv,4
@annisapv,person,jawa barat dan banten,annisapv,annisapv,2
@aheryawan,person,jawa barat dan banten,aheryawan,aheryawan,2
@fstua,nonperson,jawa timur,fstua,fstua,4
@BB_Kalbar,nonperson,kalimantan,BB_Kalbar,BB_Kalbar,5
@MisbahKhudin_,person,jawa tengah dan yogyakarta,MisbahKhudin_,MisbahKhudin_,3
@Alvaredoo,person,sumatera,Alvaredoo,Alvaredoo,8
@Akom2005,person,jawa barat dan banten,Akom2005,Akom2005,2
@andi_indink,person,sulawesi,andi_indink,andi_indink,7
@BEM_FE_UBB,nonperson,sumatera,BEM_FE_UBB,BEM_FE_UBB,8
@GosyenTerang,nonperson,jabodetabek,GosyenTerang,GosyenTerang,1
@dinkopjateng,nonperson,jawa tengah dan yogyakarta,dinkopjateng,dinkopjateng,3
@AndrieWongso,person,jawa timur,AndrieWongso,AndrieWongso,4
@RescueJtm,nonperson,jawa timur,RescueJtm,RescueJtm,4
@rs_matacicendo,nonperson,jawa barat dan banten,rs_matacicendo,rs_matacicendo,2
@Andreahirata,person,sumatera,Andreahirata,Andreahirata,8
@shepiaaa_,person,jawa tengah dan yogyakarta,shepiaaa_,shepiaaa_,3
@lekopr,person,maluku dan papua,lekopr,lekopr,6
@act2give,nonperson,kalimantan,act2give,act2give,5
@Superbsaiyan,person,jawa barat dan banten,Superbsaiyan,Superbsaiyan,2
@MalukuSatuMedia,nonperson,maluku dan papua,MalukuSatuMedia,MalukuSatuMedia,6
@mahoni___,person,jawa tengah dan yogyakarta,mahoni___,mahoni___,3
@PemprovMaluku,nonperson,maluku dan papua,PemprovMaluku,PemprovMaluku,6
@TernateTourism,nonperson,maluku dan papua,TernateTourism,TernateTourism,6
@tie_1701,person,bali dan nusa tenggara,tie_1701,tie_1701,0
@BB_Jatim,nonperson,jawa timur,BB_Jatim,BB_Jatim,4
