username,isaPerson,userLocation,screen_name,user.screen_name,Lvalue
@yogyes,nonperson,jawa tengah dan yogyakarta,yogyes,yogyes,3
@PasuruanFess,nonperson,jawa timur,PasuruanFess,PasuruanFess,4
@bb_jateng,nonperson,jawa tengah dan yogyakarta,bb_jateng,bb_jateng,3
@positiflucu,person,bali dan nusa tenggara,positiflucu,positiflucu,0
@Hariaangga,person,sulawesi,Hariaangga,Hariaangga,7
@infoSUMSEL,nonperson,sumatera,infoSUMSEL,infoSUMSEL,8
@AriantooPratama,person,jawa tengah dan yogyakarta,AriantooPratama,AriantooPratama,3
@LL_Palembang,nonperson,sumatera,LL_Palembang,LL_Palembang,8
@kabarpapuaco,nonperson,maluku dan papua,kabarpapuaco,kabarpapuaco,6
@PerekonomianRI,nonperson,jabodetabek,PerekonomianRI,PerekonomianRI,1
@sucifadhilah23,person,jabodetabek,sucifadhilah23,sucifadhilah23,1
@HRightsWPapua,nonperson,maluku dan papua,HRightsWPapua,HRightsWPapua,6
@arusbaik_id,nonperson,jabodetabek,arusbaik_id,arusbaik_id,1
@Mandala964FM,nonperson,jawa timur,Mandala964FM,Mandala964FM,4
@diskominfojabar,nonperson,jawa barat dan banten,diskominfojabar,diskominfojabar,2
@SinagaEdo,person,sulawesi,SinagaEdo,SinagaEdo,7
@PemkabBadung,nonperson,bali dan nusa tenggara,PemkabBadung,PemkabBadung,0
@arkatyanta28,person,jawa tengah dan yogyakarta,arkatyanta28,arkatyanta28,3
@CiputraWorldSby,nonperson,jawa timur,CiputraWorldSby,CiputraWorldSby,4
@infoubb,nonperson,sumatera,infoubb,infoubb,8
@UGMYogyakarta,nonperson,jawa tengah dan yogyakarta,UGMYogyakarta,UGMYogyakarta,3
@antoniomaha,person,jawa barat dan banten,antoniomaha,antoniomaha,2
@LPEMFEBUI,nonperson,jabodetabek,LPEMFEBUI,LPEMFEBUI,1
@4N4kN4G4,person,jawa barat dan banten,4N4kN4G4,4N4kN4G4,2
@standupUINjogja,nonperson,jawa tengah dan yogyakarta,standupUINjogja,standupUINjogja,3
@KantorBahasaKT,nonperson,kalimantan,KantorBahasaKT,KantorBahasaKT,5
@1dg4fux,person,jabodetabek,1dg4fux,1dg4fux,1
@PerselaFC,nonperson,jawa timur,PerselaFC,PerselaFC,4
@melianach,person,kalimantan,melianach,melianach,5
@kopinusantara_,nonperson,jabodetabek,kopinusantara_,kopinusantara_,1
@LParirie,person,maluku dan papua,LParirie,LParirie,6
@naddiza,person,jawa tengah dan yogyakarta,naddiza,naddiza,3
@MakassarInfo_,nonperson,sulawesi,MakassarInfo_,MakassarInfo_,7
@info_bnnkpalu,nonperson,sulawesi,info_bnnkpalu,info_bnnkpalu,7
@tnwaykambas,nonperson,sumatera,tnwaykambas,tnwaykambas,8
@DJFMSURABAYA,nonperson,jawa timur,DJFMSURABAYA,DJFMSURABAYA,4
@heiexposure,person,jawa timur,heiexposure,heiexposure,4
@A_DeyJKT48,person,jabodetabek,A_DeyJKT48,A_DeyJKT48,1
@bpbdjateng,nonperson,jawa tengah dan yogyakarta,bpbdjateng,bpbdjateng,3
@A_Luthfi14,person,sumatera,A_Luthfi14,A_Luthfi14,8
@AgustinCahyani,person,jawa timur,AgustinCahyani,AgustinCahyani,4
@tanpoaran67,person,maluku dan papua,tanpoaran67,tanpoaran67,6
@naufalirfandi,person,jawa tengah dan yogyakarta,naufalirfandi,naufalirfandi,3
@uajy,nonperson,jawa tengah dan yogyakarta,uajy,uajy,3
@mathdroid,person,jawa barat dan banten,mathdroid,mathdroid,2
@theCitizens_PLK,nonperson,kalimantan,theCitizens_PLK,theCitizens_PLK,5
@ArnoldBelau,person,maluku dan papua,ArnoldBelau,ArnoldBelau,6
@SwetaKartika,person,jawa barat dan banten,SwetaKartika,SwetaKartika,2
@Basran_Basir,person,sulawesi,Basran_Basir,Basran_Basir,7
@amelianaris,person,jawa barat dan banten,amelianaris,amelianaris,2
@aguswidiadaa,person,bali dan nusa tenggara,aguswidiadaa,aguswidiadaa,0
@MuseumMACAN,nonperson,jabodetabek,MuseumMACAN,MuseumMACAN,1
@lpmpbanten,nonperson,jawa barat dan banten,lpmpbanten,lpmpbanten,2
@Chalil_az,person,sumatera,Chalil_az,Chalil_az,8
@AndrianHdynt,person,jawa barat dan banten,AndrianHdynt,AndrianHdynt,2
@stupididpid,person,jawa tengah dan yogyakarta,stupididpid,stupididpid,3
@angklung3,nonperson,jawa barat dan banten,angklung3,angklung3,2
@grandhyattbali,nonperson,bali dan nusa tenggara,grandhyattbali,grandhyattbali,0
@Lombokitacom,nonperson,bali dan nusa tenggara,Lombokitacom,Lombokitacom,0
@tetaplahidupp,person,sumatera,tetaplahidupp,tetaplahidupp,8
@lpradnyawanto,person,bali dan nusa tenggara,lpradnyawanto,lpradnyawanto,0
@PRFMnews,nonperson,jawa barat dan banten,PRFMnews,PRFMnews,2
@dimi_adhen,person,maluku dan papua,dimi_adhen,dimi_adhen,6
@KawanBaikKomodo,nonperson,bali dan nusa tenggara,KawanBaikKomodo,KawanBaikKomodo,0
@nyamplunk25,person,bali dan nusa tenggara,nyamplunk25,nyamplunk25,0
@museumjateng,nonperson,jawa tengah dan yogyakarta,museumjateng,museumjateng,3
@azwarsiregar,person,sumatera,azwarsiregar,azwarsiregar,8
@AmadeaBali,nonperson,bali dan nusa tenggara,AmadeaBali,AmadeaBali,0
@nurlailmulya_,person,jawa tengah dan yogyakarta,nurlailmulya_,nurlailmulya_,3
@Kejaricirebon,nonperson,jawa barat dan banten,Kejaricirebon,Kejaricirebon,2
@NaufalZaky77,person,jawa tengah dan yogyakarta,NaufalZaky77,NaufalZaky77,3
@Ristananda_,person,sumatera,Ristananda_,Ristananda_,8
@Ali_Musri_SP,person,jawa timur,Ali_Musri_SP,Ali_Musri_SP,4
@LPMP_KepBabel,nonperson,sumatera,LPMP_KepBabel,LPMP_KepBabel,8
@htlborobudurjkt,nonperson,jabodetabek,htlborobudurjkt,htlborobudurjkt,1
@putrikaviani19,person,maluku dan papua,putrikaviani19,putrikaviani19,6
@Mulalt_,person,maluku dan papua,Mulalt_,Mulalt_,6
@BSKalimantan,nonperson,kalimantan,BSKalimantan,BSKalimantan,5
@AnangEndaryanto,person,jawa timur,AnangEndaryanto,AnangEndaryanto,4
@_raynwijaya26,person,jabodetabek,_raynwijaya26,_raynwijaya26,1
@Pemprov_Kaltim,nonperson,kalimantan,Pemprov_Kaltim,Pemprov_Kaltim,5
@ArnoldPoernomo,person,jawa timur,ArnoldPoernomo,ArnoldPoernomo,4
@AreaNTB,nonperson,bali dan nusa tenggara,AreaNTB,AreaNTB,0
@PemkotManado,nonperson,sulawesi,PemkotManado,PemkotManado,7
@andriees,person,maluku dan papua,andriees,andriees,6
@SamuelSekuritas,nonperson,jabodetabek,SamuelSekuritas,SamuelSekuritas,1
@ojze,person,sumatera,ojze,ojze,8
@MalukuTeras,nonperson,maluku dan papua,MalukuTeras,MalukuTeras,6
@AmbiyaFirhan,person,sumatera,AmbiyaFirhan,AmbiyaFirhan,8
@showimah,person,jabodetabek,showimah,showimah,1
@DenpasarKota,nonperson,bali dan nusa tenggara,DenpasarKota,DenpasarKota,0
@akbar___,person,jawa timur,akbar___,akbar___,4
@imracun,person,kalimantan,imracun,imracun,5
@KM_ITB,nonperson,jawa barat dan banten,KM_ITB,KM_ITB,2
@TwiBiKalimantan,nonperson,kalimantan,TwiBiKalimantan,TwiBiKalimantan,5
@Humas_Aceh,nonperson,sumatera,Humas_Aceh,Humas_Aceh,8
@TRANS7,nonperson,jabodetabek,TRANS7,TRANS7,1
@aminfadlillah,person,jawa tengah dan yogyakarta,aminfadlillah,aminfadlillah,3
@KonJenMakassar,person,sulawesi,KonJenMakassar,KonJenMakassar,7
@coasteagle1976,nonperson,jawa tengah dan yogyakarta,coasteagle1976,coasteagle1976,3
@pkskotacirebon,nonperson,jawa barat dan banten,pkskotacirebon,pkskotacirebon,2
@AIS_PTK,nonperson,kalimantan,AIS_PTK,AIS_PTK,5
@FransRuntulalu,person,jawa timur,FransRuntulalu,FransRuntulalu,4
@NuriiDM_,person,kalimantan,NuriiDM_,NuriiDM_,5
@iSatrio,person,jawa timur,iSatrio,iSatrio,4
@JatimPemprov,nonperson,jawa timur,JatimPemprov,JatimPemprov,4
@BatSulawesi,nonperson,sulawesi,BatSulawesi,BatSulawesi,7
