screen_name,Lpredict
arshere,4
inyormain,4
ainssdyh,4
aline_adita,1
Arnaz_Asa,4
A_FionyJKT48,4
themaczmancom,7
klubbunga,4
yona_banjar,4
14045archie,4
RistekCSUI,1
info_bnnkpalu,7
humas_jogja,3
orizanoor,5
BBSulsel,7
westinbali,4
PemdaKotaCrb,2
AiraAl,4
AliMasykurMusa,4
aheryawan,2
Swissbel_Jpr,6
uu_ruzhanul,2
kanwilsulteng,5
ptriavia,4
VidiesBandung,2
ahikmatf,4
pegipegi,4
kominfo_jtg,3
asadepan,2
undip,3
beINSPORTSid,4
NizaPuspitaArim,4
FirstMediaWorld,1
kantorbhsjambi,6
aimanricky,3
nttlpmp,7
_atikamutiara,4
MCSCI_PALEMBANG,8
putrikaviani19,6
yudhakhel,2
PMISUMSEL,8
CkdHumas,2
ardyaaW,4
nuicemedia,4
Sulselprov,7
KarrimaNailul,2
komiklieur,4
Yudhapraditya46,4
g_wanimbo,2
RTMCPoldaNTB,0
shepiaaa_,4
ana_khoz,4
persikfckediri,4
jointsugm,1
kevin_adhika,4
ainiciebot,4
pemkabpasuruan_,4
BaliSafari,4
litarianti,4
nimikiilhim,2
DediMetrawan1,4
kpukotablitar,7
mahananda_,4
abidbid,4
jawafess,4
BEMUndip_,4
ridha_sofyan,4
antioffline_,5
IAmKzaan,4
anjar_wilujeng,3
Arkobumen,3
BSN_MAKASSAR,7
bemkm_ugm,3
arkatyanta28,4
desa_cibuyur,4
adindanvl,4
infoFKY,3
JCIndonesia,4
goliathtabuni,6
lpmp_malut,2
bloggerkalsel,5
kabarsumbar_,8
aprilianiken,4
atnisay,4
vincentrompies,4
buahfresh17,4
SinagaEdo,4
kiko_henuk,5
Monicaiphing,4
agekurniawan9,8
ofc_pvjayapura,6
nixon_civil,4
SPxPSS1976,3
aagym,4
humasbatan,4
TVRIKALTIM_,5
MCSCI_WOJ,2
theCitizens_PLK,2
hurufkecil,4
agustox21,1
LL_Palembang,4
LParirie,6
rs_matacicendo,1
Ali_Musri_SP,4
rickysadewa_895,5
bpbd_malangkota,4
Anab_M_B,4
mrmakassar,4
RadioKesehatan,3
BPBDJabar,2
dinkesbali,0
dr_dip,1
agsdomas,8
_dimsky_,4
wisataacehID,8
kompastv_jabar,2
THEBALIBIBLE,0
IsmiAmran,8
diptabaswara,4
AstonKuta,0
Lantas_RestaBwi,4
105kissfmmedan,4
angklung3,2
Sulawesitacom,7
prwttymiselfff,4
TSM_Makassar,4
bptdjabar,2
HendRadianceBJM,2
kadodamate,6
fachmiza,4
mardiasih,4
bpbdjateng,3
www_endhy_xyz,0
Vasudonesta1976,3
bapendajatim,4
rdpatera,0
RRIMalang,4
Alvaredoo,4
ardinarr,3
BeritaJabarku,2
doktermarket,1
NBA_Indonesia,4
DaengNug,4
adn_afandi,4
kumhamkalsel,5
AgunOnly,4
nurfmrembang,4
ianhutomo,4
RicoTude,4
ManjaruniMaryo,4
9ziza9,4
akhirul_rmd,4
bmkgpapua,6
antungriduan,4
antoniomaha,4
NTTbersuara,4
nesyanl,2
BeritaMaluku,6
GosyenTerang,4
DitlantasMaluku,6
loker_sumbar,8
BaliUtd,4
PemkotManado,7
azhary88853559,4
___TJ,4
wikkend,4
UM_1954,4
AkbarRafs,4
sir_amirsyarif,4
aguswidiadaa,4
ai_king128,1
adhitiasofyan,4
hengpaenpaen,4
infoBMKGMaluku,6
FransRuntulalu,4
widhaRP,2
octapiatri_,4
bolalampung,4
HaidarMusyafa,3
DanyBeler,2
dinsosjateng,3
Malukunews,6
_AtalarikSyach,4
bemfkuncen,4
polresjogja,3
ntykertawijaya,1
ojze,4
ZENRoomsID,4
Yance_Yobee,6
m_ikhwanulmus,4
Pemprov_Kaltim,5
smyhpns,4
sastranababan,4
arkham1818,4
antvbola,4
Superbsaiyan,4
SumatranTigerID,4
wowbanten,4
StandupindoBali,0
15natashawilona,2
DimasAHongBulat,2
anyta_browniezt,4
BanggaSurabaya,4
kpu_malut,6
lpmpbanten,7
AnisaRahma_Adi,4
Info_Jayapura,6
teater_kutub,4
balimarinedive,4
Abang_Cetan,3
WempiWetipo,6
Malafucktaka,4
iSatrio,4
ceritamedan,8
NuriiDM_,1
lirajtm,4
ilsaunhas,7
angewwie,4
naufalirfandi,3
Fadhill_Hakim,4
achmadzaky,4
minangkabauku,8
InfoGOBJM,4
4N4kN4G4,4
nita_nit24,1
AlfatihTimur,4
alfadillahsony,4
cosbylarsons,4
PemkotMalang,4
IrhamMaulidy,4
wijangsha,4
Aldhygunawan_,4
ngiqiq,4
MayongFirdaus,4
Taekwondo_UNDIP,4
lebahireng,0
plnsumut_,0
OVJ_kitelagi,1
IDWanderlust,4
ConversationIDN,4
Bappeda_Jateng,3
humasprovjatim,4
AkberJKT,4
beacukaigto,7
frdhaamalia,4
alfunmart,4
DanarSN,4
aminollahmimink,4
StandUpSOLO,3
AangMunawar21,3
