,screen_name,full_text,userLocation,Lvalue,Lpredict_nb,Lpredict_svm,Lpredict_lr,Lpredict_BERT
0,ldiisumbar,kirim foto,sumatera,8,2,2,2,2
1,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
2,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
3,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
4,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
5,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
6,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
7,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
8,ldiisumbar,just posted a video,sumatera,8,2,2,2,2
9,ldiisumbar,padang kantor wilayah menteri agama kanwil kemenag sumatera barat apresiasi kerja program dpw lembaga dakwah islam ldi sumatera barat kuat daerah lengkap,sumatera,8,8,8,8,8
10,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
11,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
12,ldiisumbar,kirim foto,sumatera,8,2,2,2,2
13,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
14,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
15,ldiisumbar,just posted a video,sumatera,8,2,2,2,2
16,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
17,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
18,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
19,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
20,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
21,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
22,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
23,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
24,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
25,ldiisumbar,just posted photo padang,sumatera,8,8,8,8,8
26,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
27,ldiisumbar,kondisi pandemik semangat ajar nyala komponen didik guru murid hinga orang tua sinergi cipta semangat ajar merdeka penuh cinta hasil dunia didik,sumatera,8,3,2,2,2
28,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
29,ldiisumbar,just posted a photo,sumatera,8,2,2,2,2
30,ldiisumbar,sikap pandemi sisi sosial ekonomi live instagram ldinews youtube ldi tv ldi ldinews ldisumbar ldinews,sumatera,8,3,2,2,8
31,ldiisumbar,yuk gabung webinar dpw ldi prov sumbar sabtu september wib live on zom ldi ldisumbar,sumatera,8,8,1,8,8
32,ldiisumbar,putri dpd ldi kota padang adakan webinar remaja putri ldi ldisumbar,sumatera,8,8,8,8,8
33,ldiisumbar,dp ldi silaturahim ketua mui ldi ldisumbar,sumatera,8,3,3,3,8
34,ldiisumbar,wapres ri dukung programprogram ldi ldi ldisumbar,sumatera,8,3,3,3,8
35,ldiisumbar,jakarta dp ldi warga utama maslahat ldi ldisumbar,sumatera,8,4,1,1,8
36,ldiisumbar,ldi sumbar hadir focus group discusion fgd tema rukun umat agama ldi ldisumbar,sumatera,8,8,3,8,8
37,ldiisumbar,literasi internasional aksara internasional melek huruf internasional september jaga melek huruf manusia komunitas masyarakat,sumatera,8,3,4,4,1
38,ldiisumbar,santoso dukung penuh pj tum ldi rapimnasldi ldisumbar ldinews,sumatera,8,3,3,3,8
