username,isaPerson,userLocation,screen_name,Lvalue
@annefachrozie,person,jawa barat dan banten,annefachrozie,2
@A_ZeeJKT48,person,jabodetabek,A_ZeeJKT48,1
@MaduraUnitedFC,nonperson,jawa timur,MaduraUnitedFC,4
@waterbombali,nonperson,bali dan nusa tenggara,waterbombali,0
@dishub_jabar,nonperson,jawa barat dan banten,dishub_jabar,2
@ravacanafilms,nonperson,jawa tengah dan yogyakarta,ravacanafilms,3
@ShangriLaSUB,nonperson,jawa timur,ShangriLaSUB,4
@BEM_Poltek_Aceh,nonperson,sumatera,BEM_Poltek_Aceh,8
@Lippomallkuta,nonperson,bali dan nusa tenggara,Lippomallkuta,0
@Awanthehow,person,jawa barat dan banten,Awanthehow,2
@perangbatinn,person,jawa tengah dan yogyakarta,perangbatinn,3
@CampusBoys1976,nonperson,jawa tengah dan yogyakarta,CampusBoys1976,3
@uroldsport,person,kalimantan,uroldsport,5
@Cobra67564747,person,sumatera,Cobra67564747,8
@Youthssfm,nonperson,jawa timur,Youthssfm,4
@putbagusaditya,person,bali dan nusa tenggara,putbagusaditya,0
@UdayanaUniv,nonperson,bali dan nusa tenggara,UdayanaUniv,0
@LukasEnembe,person,maluku dan papua,LukasEnembe,6
@AriefRohman_838,person,jawa tengah dan yogyakarta,AriefRohman_838,3
@MarcellSiahaan,person,jabodetabek,MarcellSiahaan,1
@Kaltim123,nonperson,kalimantan,Kaltim123,5
@carbonds_CRI,nonperson,jabodetabek,carbonds_CRI,1
@kratonjogja,nonperson,jawa tengah dan yogyakarta,kratonjogja,3
@itha_welan,person,maluku dan papua,itha_welan,6
@SmartFM_Manado,nonperson,sulawesi,SmartFM_Manado,7
@Humaspolreskota,nonperson,sulawesi,Humaspolreskota,7
@UtdIndonesiaBDG,nonperson,jawa barat dan banten,UtdIndonesiaBDG,2
@BKKBN_Jateng,nonperson,jawa tengah dan yogyakarta,BKKBN_Jateng,3
@bpsprovkalsel,nonperson,kalimantan,bpsprovkalsel,5
@mangku_pastika,person,bali dan nusa tenggara,mangku_pastika,0
@Mandiri_OLT,nonperson,jabodetabek,Mandiri_OLT,1
@ogiie_yogie,person,kalimantan,ogiie_yogie,5
@ndvwq,person,bali dan nusa tenggara,ndvwq,0
@kanwilbpnjabar,nonperson,jawa barat dan banten,kanwilbpnjabar,2
@AndreasNoak,person,bali dan nusa tenggara,AndreasNoak,0
