username,isaPerson,userLocation,screen_name,Lvalue
@bkpd_jabar,nonperson,jawa barat dan banten,bkpd_jabar,2
@wakilbupatipml,person,jawa tengah dan yogyakarta,wakilbupatipml,3
@naif_primus,person,bali dan nusa tenggara,naif_primus,0
@KemenkesRI,nonperson,jabodetabek,KemenkesRI,1
@agunghercules,person,jawa barat dan banten,agunghercules,2
@Vaksinboy,person,jawa timur,Vaksinboy,4
@AltezzaAndhika,person,sumatera,AltezzaAndhika,8
@SoyMpieth,person,jawa timur,SoyMpieth,4
@AndrianHdynt,person,jawa barat dan banten,AndrianHdynt,2
@KeperawatanUI,nonperson,jabodetabek,KeperawatanUI,1
@SenjaFrima,person,kalimantan,SenjaFrima,5
@Gamal_Albinsaid,person,jawa timur,Gamal_Albinsaid,4
@polsek_regol,nonperson,jawa barat dan banten,polsek_regol,2
@ErsaTriWahyuni,person,jawa barat dan banten,ErsaTriWahyuni,2
@yas_liufeto,person,bali dan nusa tenggara,yas_liufeto,0
@PasarLontara,nonperson,sulawesi,PasarLontara,7
@ppid_smr,nonperson,kalimantan,ppid_smr,5
@nurshe,person,jawa barat dan banten,nurshe,2
@MalukuOnlineCJ,nonperson,maluku dan papua,MalukuOnlineCJ,6
@nisaturns,person,jawa barat dan banten,nisaturns,2
@mynameismals_,person,sulawesi,mynameismals_,7
@AmriandriA,person,sumatera,AmriandriA,8
@kpu_pacitan,nonperson,jawa timur,kpu_pacitan,4
@ildanrfdilh599,person,sulawesi,ildanrfdilh599,7
@PSM_Makassar,nonperson,sulawesi,PSM_Makassar,7
@banjarmasinpost,nonperson,kalimantan,banjarmasinpost,5
@feb_ugm,nonperson,jawa tengah dan yogyakarta,feb_ugm,3
@bukittinggiku,nonperson,sumatera,bukittinggiku,8
@PemprovMaluku,nonperson,maluku dan papua,PemprovMaluku,6
@AndrieWongso,person,jawa timur,AndrieWongso,4
@bptp_malut,nonperson,maluku dan papua,bptp_malut,6
@BetaFlobamorata,person,bali dan nusa tenggara,BetaFlobamorata,0
@nelsonalom90,person,maluku dan papua,nelsonalom90,6
@AstonMakassar,nonperson,sulawesi,AstonMakassar,7
@TwiBiKalimantan,nonperson,kalimantan,TwiBiKalimantan,5
@AndyWibowo_,person,bali dan nusa tenggara,AndyWibowo_,0
@zizaonfire,person,sumatera,zizaonfire,8
@nyimaswulandari,person,sumatera,nyimaswulandari,8
@banyuwangi_kab,nonperson,jawa timur,banyuwangi_kab,4
@HmsPoldaPapua,nonperson,maluku dan papua,HmsPoldaPapua,6
@Albert_Bangun,person,sumatera,Albert_Bangun,8
@ManadoKota,nonperson,sulawesi,ManadoKota,7
@yogyes,nonperson,jawa tengah dan yogyakarta,yogyes,3
@Andri95392909,person,maluku dan papua,Andri95392909,6
@adimassapta,person,jawa timur,adimassapta,4
@bmsukoco,person,jawa timur,bmsukoco,4
@iiitsurbooiii,person,jawa timur,iiitsurbooiii,4
@PMIKabpkl,nonperson,jawa tengah dan yogyakarta,PMIKabpkl,3
@wisataSumbar,nonperson,sumatera,wisataSumbar,8
@WegoID,nonperson,jabodetabek,WegoID,1
@ponxx2020papua,nonperson,maluku dan papua,ponxx2020papua,6
@KupangNet,person,bali dan nusa tenggara,KupangNet,0
@myXL_Sulawesi,nonperson,sulawesi,myXL_Sulawesi,7
@bandungpy,nonperson,jawa barat dan banten,bandungpy,2
@Annamirg,person,sumatera,Annamirg,8
@PolrestabesSby,nonperson,jawa timur,PolrestabesSby,4
@anwarabdulrojak,person,jawa barat dan banten,anwarabdulrojak,2
@ariefrachman_h,person,kalimantan,ariefrachman_h,5
@dahSyatMusik,nonperson,jabodetabek,dahSyatMusik,1
@Valdinho74,person,maluku dan papua,Valdinho74,6
@Sutiaj1,person,jawa timur,Sutiaj1,4
@RISET_PALEMBANG,nonperson,sumatera,RISET_PALEMBANG,8
@siman_sudartawa,person,bali dan nusa tenggara,siman_sudartawa,0
@zarryhendrik,person,jabodetabek,zarryhendrik,1
@Blogger_Cirebon,nonperson,jawa barat dan banten,Blogger_Cirebon,2
@provjateng,nonperson,jawa tengah dan yogyakarta,provjateng,3
@unisbaofficial,nonperson,jawa barat dan banten,unisbaofficial,2
@dinkopjateng,nonperson,jawa tengah dan yogyakarta,dinkopjateng,3
@PSSleman,nonperson,jawa tengah dan yogyakarta,PSSleman,3
@CiputraWorldSby,nonperson,jawa timur,CiputraWorldSby,4
@ando_ahmad,person,sumatera,ando_ahmad,8
@radioMartapura,nonperson,kalimantan,radioMartapura,5
@infoLotim,nonperson,bali dan nusa tenggara,infoLotim,0
@ESDMJateng,nonperson,jawa tengah dan yogyakarta,ESDMJateng,3
@kantahkabkapuas,nonperson,kalimantan,kantahkabkapuas,5
@bimautamajabar,nonperson,jawa barat dan banten,bimautamajabar,2
@asadullahghozi,person,jabodetabek,asadullahghozi,1
@edyporwanto02,person,kalimantan,edyporwanto02,5
@SemenPadang1910,nonperson,sumatera,SemenPadang1910,8
@SocMedSUMBAR,nonperson,sumatera,SocMedSUMBAR,8
@dinsos_jatim,nonperson,jawa timur,dinsos_jatim,4
@UB_Official,nonperson,jawa timur,UB_Official,4
@Hanungbramantyo,person,jawa tengah dan yogyakarta,Hanungbramantyo,3
@arsul_sani,person,jawa tengah dan yogyakarta,arsul_sani,3
@act2give,nonperson,kalimantan,act2give,5
@indra_sjafri,person,jawa tengah dan yogyakarta,indra_sjafri,3
@heri_tere,person,bali dan nusa tenggara,heri_tere,0
@pabika_leka45,person,maluku dan papua,pabika_leka45,6
@sabdaps,person,jabodetabek,sabdaps,1
@naddiza,person,jawa tengah dan yogyakarta,naddiza,3
@NaufalZaky77,person,jawa tengah dan yogyakarta,NaufalZaky77,3
@arif_brata,person,sulawesi,arif_brata,7
@aryasinga19,person,bali dan nusa tenggara,aryasinga19,0
@fshddq,person,jawa barat dan banten,fshddq,2
@KompasTravel,nonperson,jabodetabek,KompasTravel,1
@A_MutheJKT48,person,jabodetabek,A_MutheJKT48,1
@lpmpjateng,nonperson,jawa tengah dan yogyakarta,lpmpjateng,3
@ipbofficial,nonperson,jabodetabek,ipbofficial,1
@die_samawa80,person,bali dan nusa tenggara,die_samawa80,0
@dokter_prima,person,jabodetabek,dokter_prima,1
